,,Unique,Unique-values,use case from drugbank,
Azithromycin,,Nilutamide,Nelarabine,anticancer,
Azithromycin,,Nimesulide,Neocarzinostatin,antibiotic,
Azithromycin,,Nimodipine,Neostigmine bromide,myasthenia gravis,
Azithromycin,,Niridazole,Nevirapine,antiviral,
Azithromycin,,Nitrazepam,Nicergoline,dementia,
Azithromycin,,Nitrendipine,Niclosamide,anthelmintic,
Azithromycin,,Nitrobenzodiazepine,Nicorandil,antiangina,
Azlocillin,,Nitrofural,Nifuroxazide,antibiotic,
Azlocillin sodium salt,,Nitrofurantoin,Nifurtimox,chagas disease,
Azlocillin sodium salt,,Nizatidine,Nilutamide,anticancer,
Azlocillin sodium salt,,Norcyclobenzaprine,Nimesulide,NSAIDs,
Azlocillin sodium salt,,Norfloxacin,Nimodipine,antihypertensive,
Azlocillin sodium salt,,Norgestimate,Niridazole,antihelmintic,
Azlocillin sodium salt,,Novobiocin sodium salt,Nitrazepam,antiepileptic,
Azlocillin sodium salt,,NSAIDs,Nitrendipine,antihypertensive,
Azlocillin sodium salt,,Ofloxacin,Nitrobenzodiazepine,antianxiety,
Azlocillin sodium salt,,Olanzapine,Nitrofural,antibacterial,
Azlocillin sodium salt,,Olmesartan medoxomil,Nitrofurantoin,antibiotic,
Azlocillin sodium salt,,Omeprazole,Nizatidine,antiulcer,
Azlocillin sodium salt,,Oorethindrone acetate,Norcyclobenzaprine,muscle relaxant,
Azlocillin sodium salt,,Oorgestimate,Norfloxacin,antibiotic,
Azlocillin sodium salt,,Ooscapine,Norgestimate,contraceptive,
Azlocillin sodium salt,,Ornidazole,Novobiocin sodium salt,antibiotic,
Azlocillin sodium salt,,Orphenadrine citrate,Ofloxacin,antibacterial,
Azlocillin sodium salt,,Oxacillin sodium,Olanzapine,antipsychotic,
Azlocillin sodium salt,,Oxaprozin,Olmesartan medoxomil,antihypertensive,
Azlocillin sodium salt,,Oxcarbazepine,Omeprazole,PPI,
Azlocillin sodium salt,,Oxethazaine,Norethindrone acetate,contraceptive,
Azlocillin sodium salt,,Oxibendazol,Norgestimate,contraceptive,
Azlocillin sodium salt,,Oxiconazole Nitrate,Noscapine,antitussive,
Azlocillin sodium salt,,Oxolinic acid,Ornidazole,antibiotic,
Azlocillin sodium salt,,Oxybutynin chloride,Orphenadrine citrate,antiparkinson,
Azlocillin sodium salt,,Oxytetracycline dihydrate,Oxacillin sodium,antibiotic,
Azlocillin sodium salt,,Paclitaxel,Oxaprozin,NSAID,
Azlocillin sodium salt,,Paliperidone,Oxcarbazepine,anti-epileptic,
Azlocillin sodium salt,,Paracetamol,Oxethazaine,anesthetic,
Azlocillin sodium salt,,Parbendazole,Oxibendazol,antihelmintic,
Azlocillin sodium salt,,Pefloxacine,Oxiconazole Nitrate,antifungal,
Aztreonam,,Pemirolast potassium,Oxolinic acid,antibiotic,veterinary
Aztreonam,,Penbutolol sulfate,Oxybutynin chloride,antimuscarinic,
Aztreonam,,Pentamidine isethionate,Oxytetracycline dihydrate,antibiotic,
Aztreonam,,Pentostatin,Paclitaxel,anti-cancer,
Aztreonam,,Perhexiline maleate,Paliperidone,antipsychotic,
Aztreonam,,Pericyazine,Paracetamol,analgesic,
Bacampicillin hydrochloride,,Perphenazine,Parbendazole,antihelmintic,
Bacampicillin hydrochloride,,Phenazopyridine,Pefloxacine,antibiotic,
Bacampicillin hydrochloride,,Phenethicillin potassium salt,Pemirolast potassium,hypersentivity,
Bacampicillin hydrochloride,,Phenformin,Penbutolol sulfate,anti-hypertension,
Bacampicillin hydrochloride,,Phenindione,Pentamidine isethionate,antifungal,
Bacampicillin hydrochloride,,Phenoxyethanol,Pentostatin,anticancer,
Bacampicillin hydrochloride,,Phenytoin sodium,Perhexiline maleate,antiangina,
Bacampicillin hydrochloride,,Picosulfuric acid,Pericyazine,antipsychotic,
Bacampicillin hydrochloride,,Pidotimod,Perphenazine,antipsychotic,
Bacampicillin hydrochloride,,Pimethixene maleate,Phenazopyridine,anesthetic,
Bacampicillin hydrochloride,,Pimozide,Phenethicillin potassium ,antibiotic,
Bacampicillin hydrochloride,,Pinaverium bromide,Phenethicillin potassium salt,antibiotic,
Bacampicillin hydrochloride,,Pioglitazone,Phenformin,NSAIDs,withdrawn
Bacampicillin hydrochloride,,Pipemidic acid,Phenindione,anticoagulant,
Bacampicillin hydrochloride,,Piperacillin sodium salt,Phenoxyethanol,antiseptic,
Bacampicillin hydrochloride,,Pivampicillin,Phenytoin sodium,anticonvulsant,
Bacampicillin hydrochloride,,Pivmecillinam hydrochloride,Picosulfuric acid,laxative,
Bacampicillin hydrochloride,,Pizotifen malate,Pidotimod,immunosuppresant,
Bacampicillin hydrochloride,,PPIs,Pimethixene maleate,bronchitis,
Bacampicillin hydrochloride,,Pranlukast,Pimozide,antipsychotic,
Bacampicillin hydrochloride,,Pranoprofen,Pinaverium bromide,IBD,
Bacampicillin hydrochloride,,Prenylamine lactate,Pioglitazone,antidiabetic,
Bacampicillin hydrochloride,,Pridinol methanesulfonate salt,Pipemidic acid,antibiotic,
Bacampicillin hydrochloride,,Prilocaine hydrochloride,Piperacillin sodium salt,antibiotic,
Bacampicillin hydrochloride,,Primaquine phosphate,Pivampicillin,antibiotic,
Bacitracin,,Procarbazine,Pivmecillinam hydrochloride,antibiotic,
Bacitracin,,Prochlorperazine dimaleate,Pizotifen malate,migraine,
Bacitracin,,Promazine hydrochloride,Pranlukast,asthma,
Bacitracin,,Promethazine hydrochloride,Pranoprofen,NSAIDs,
Bacitracin,,Proton pump inhibitors,Prenylamine lactate,arrhythmia,withdrawn
Bacitracin,,Protriptyline hydrochloride,Pridinol methanesulfonate salt,antiparkinson,
Bacitracin,,Pyrimethamine,Prilocaine hydrochloride,anesthetic,
Bacitracin,,Pyrvinium pamoate,Primaquine phosphate,antimalarial,
Bacitracin,,Quetiapine hemifumarate,Procarbazine,anticancer,
Bacitracin,,Quinacrine dihydrochloride dihydrate,Prochlorperazine dimaleate,antipsychotic drug,
Bacitracin,,Quinapril,Promazine hydrochloride,antipsychotic,
Bacitracin,,Quinupristin/dalfopristin,Promethazine hydrochloride,antihistamine,
Bacitracin,,R(-) Apomorphine hydrochloride hemihydrate,Protriptyline hydrochloride,,
Bacitracin,,Rabeprazole Sodium salt,Pyrimethamine,antidepressant,
Bacitracin,,Racecadotril,Pyrvinium pamoate,antimalarial,
Bacitracin,,Racepinephrine HCl,Quetiapine hemifumarate,anthelmintic ,
Bacitracin,,Raloxifene hydrochloride,Quinacrine dihydrochloride dihydrate,antipsychotic,
Bacitracin,,Ramelteon,Quinapril,antimalarial,
Bacitracin,,Ramipril,Quinupristin/dalfopristin,antihypertensive,
Bacitracin,,Rebamipide,R(-) Apomorphine hydrochloride hemihydrate,antibiotic,
Bacitracin,,Repaglinide,Rabeprazole Sodium salt,antiparkinson,
Bacitracin,,Resveratrol,Racecadotril,PPI,
Bacitracin,,Ribavirin,Racepinephrine HCl,diarrhea,
Bacitracin,,Ribostamycin sulfate salt,Raloxifene hydrochloride,asthma,
Bacitracin,,Rifapentine,Ramelteon,estrogen antagonist,
Bacitracin,,Rifaximin,Ramipril,insomnia,
Bacitracin,,Riluzole,Rebamipide,antihypertensive,
Bacitracin,,Riluzole hydrochloride,Repaglinide,antiulcer,
Bacitracin,,Risperidone,Resveratrol,antidiabetic,
Bacitracin,,Ritipenem acoxil,Ribavirin,antibiotic,
Benazepril,,Ritonavir,Ribostamycin sulfate salt,antiviral,
Benazepril,,Rizatriptan benzoate,Rifapentine,antibiotic,
Benazepril,,Ronidazole,Rifaximin,antibiotic,
Benazepril,,Rosuvastatin,Riluzole,antibiotic,
Benazepril,,Roxatidine acetate,Riluzole hydrochloride,anticonvulsant,
Benazepril,,Roxithromycin,Risperidone,anticonvulsant,
Benazepril,,Rufloxacin,Ritipenem acoxil,antipsychotic,
Benazepril,,Salmeterol,Ritonavir,antibiotic,
Benazepril,,Saquinavir mesylate,Rizatriptan benzoate,antiviral,
Benazepril,,Sarafloxacin,Ronidazole,migraine,
Benazepril,,Secnidazole,Rosuvastatin,antibacterial,
Benazepril,,Secoisolariciresinol,Roxatidine acetate,lower lipid,
Benazepril,,Sertaconazole nitrate,Roxithromycin,antiulcer,
Benazepril,,Sertindole,Rufloxacin,antibiotic,
Benazepril,,Sildenafil citrate,Salmeterol,antibiotic,
Benazepril,,Sisomicin sulfate,Saquinavir mesylate,COPD and asthma,
Benazepril,,Solithromycin,Sarafloxacin,antiviral,
Benazepril,,Sorivudine,Secnidazole,antibiotic,
Benazepril,,Sotalol,Secoisolariciresinol,antibiotic,
Benazepril,,Sparfloxacin,Sertaconazole nitrate,anticancer,
Benazepril,,Spectinomycin dihydrochloride,Sertindole,antifungal,
Benfluorex hydrochloride,,Spiperone,Sildenafil citrate,antipsychotic,
Benzathine benzylpenicillin,,Spiramycin,Sisomicin sulfate,PDE5 inhibitor,
Benzathine benzylpenicillin,,Stanozolol,Solithromycin,antibiotic,
Benzathine benzylpenicillin,,Statins,Sorivudine,antibiotic,
Benzathine benzylpenicillin,,Streptonegrin,Sotalol,antiviral,
Benzathine benzylpenicillin,,Streptozotocin,Sparfloxacin,antiarrhythmic,
Benzathine benzylpenicillin,,Sulbactam,Spectinomycin dihydrochloride,antibiotic,
Benzathine benzylpenicillin,,Sulconazole nitrate,Spiperone,antibiotic,
Benzathine benzylpenicillin,,Sulfamonomethoxine,Spiramycin,antipsychotic,
Benzathine benzylpenicillin,,Sulfasalazine,Stanozolol,antimicrobial,
Benzathine benzylpenicillin,,Sulfinpyrazone,Streptonegrin,testosterone,
Benzathine benzylpenicillin,,Suloctidil,Streptozotocin,,
Benzathine benzylpenicillin,,Sulpiride,Sulbactam,antibiotic,
Benzathine benzylpenicillin,,Sumatriptan succinate,Sulconazole nitrate,anticancer,
Benzathine benzylpenicillin,,Sunitinib,Sulfamonomethoxine,antibiotic,
Benzathine benzylpenicillin,,Tacrolimus,Sulfasalazine,antifungal,
Benzathine benzylpenicillin,,Tadalafil,Sulfinpyrazone,antibiotic,
Benzathine benzylpenicillin,,Talampicillin hydrochloride,Suloctidil,antiinflammatory ,
Benzathine benzylpenicillin,,Tamoxifen,Sulpiride,antigout,
Benzathine benzylpenicillin,,Tamoxifen citrate,Sumatriptan succinate,vasodilator,
Benzathine benzylpenicillin,,Tazobactam,Sunitinib,antipsychotic,
Benzathine benzylpenicillin,,Tegafur,Tacrolimus,migraine,
Benzathine benzylpenicillin,,Teicoplanin,Tadalafil,anticancer,
Benzathine benzylpenicillin,,Telavancin,Talampicillin hydrochloride,immunosuppresant,
Benzathine benzylpenicillin,,Telithromycin,Tamoxifen,PDE5 inhibitor,
Benzathine benzylpenicillin,,Telmisartan,Tamoxifen citrate,antibiotic,
Benzathine benzylpenicillin,,Temozolomide,Tazobactam,antiestrogen,
Benzathine benzylpenicillin,,Tenatoprazole,Tegafur,antiestrogen,
Benzathine benzylpenicillin,,Terfenadine,Teicoplanin,antibiotic,
Benzathine benzylpenicillin,,Testosterone propionate,Telavancin,anticancer,
Benzathine benzylpenicillin,,Tetracycline hydrochloride,Telithromycin,antibiotic,
Benzathine benzylpenicillin,,Thiamphenicol,Telmisartan,antibacterial,
Benzathine benzylpenicillin,,Thiethylperazine dimalate,Temozolomide,antibiotic,
Benzathine benzylpenicillin,,Thimerosal,Tenatoprazole,antihypertensive,
Benzbromarone,,Thioguanosine,Terfenadine,anticancer,
Benzbromarone,,Thiopurines,Testosterone propionate,PPIs,
Benzbromarone,,Thioridazine hydrochloride,Tetracycline hydrochloride,antihistamine,
Benzbromarone,,Thiostrepton,Thiamphenicol,testosterone,
Benzbromarone,,Thiothixene,Thiethylperazine dimalate,antibiotic,
Benzbromarone,,Thonzonium bromide,Thimerosal,antibiotic,
Benzbromarone,,Thyroxine (L),Thioguanosine,antipyschotic,
Benzbromarone,,Ticarcillin sodium,Thiopurines,"antiseptic,antifungal",
Benzbromarone,,Tigecycline,Thioridazine hydrochloride,anticancer,
Benzbromarone,,Tinidazole,Thiostrepton,anticancer,
Benzbromarone,,Tioconazole,Thiothixene,antipyschotic,
Benzbromarone,,"Tiratricol, 3,3',5-triiodothyroacetic acid",Thonzonium bromide,antibiotic,
Benzbromarone,,Tolazamide,Thyroxine (L),antipyschotic,
Benzbromarone,,Tolfenamic acid,Ticarcillin sodium,anti-inflammatory agent,
Benzbromarone,,Tolnaftate,Tigecycline,thyroidism,
Benzbromarone,,Toltrazuril,Tinidazole,antibiotic,
Benzbromarone,,Toremifene,Tioconazole,antibiotic,
Benzbromarone,,Tosufloxacin hydrochloride,"Tiratricol, 3,3',5-triiodothyroacetic acid",antiprotozoal,
Benzbromarone,,Trandolapril,Tolazamide,antifungal,
Benzbromarone,,Tranilast,Tolfenamic acid,thyroidism,
Benzbromarone,,Trans-resveratrol,Tolnaftate,antidiabetic,
Benzbromarone,,Trazodone hydrochloride,Toltrazuril,NSAIDs,
Benzbromarone,,Tretazicar,Toremifene,antifungal,
Benzbromarone,,Tribenoside,Tosufloxacin hydrochloride,antibiotic,
Benzbromarone,,Trifluoperazine dihydrochloride,Trandolapril,antiestrogen,
Benzbromarone,,Triflupromazine hydrochloride,Tranilast,antibiotic,
Benzbromarone,,Trifluridine,Trans-resveratrol,antihypertensive,
Benzethonium chloride,,Trihexyphenidyl,Trazodone hydrochloride,antiallergic,
Benzethonium chloride,,Trimebutine maleate,Tretazicar,antiviral,
Benzethonium chloride,,Trimeprazine tartrate,Tribenoside,antidepressant,
Benzethonium chloride,,Trimetazidine dihydrochloride,Trifluoperazine dihydrochloride,anticancer,
Benzethonium chloride,,Trimethoprim,Triflupromazine hydrochloride,antiinflammatory ,
Benzethonium chloride,,Troglitazone,Trifluridine,antipsychotic,
Benzethonium chloride,,Troleandomycin,Trihexyphenidyl,antipsychotic,
Benzethonium chloride,,Ustekinumab,Trimebutine maleate,antiviral,
Benzethonium chloride,,Valacyclovir,Trimeprazine tartrate,antisparkinson,
Benzethonium chloride,,Valsartan,Trimetazidine dihydrochloride,IBD,
Benzethonium chloride,,Vancomycin,Trimethoprim,antihistamine,cats/dogs
Benzethonium chloride,,Vancomycin hydrochloride,Troglitazone,antiangina,
Benzethonium chloride,,Vardenafil,Troleandomycin,antifolate antibiotic,
Benzethonium chloride,,Vecuronium bromide,Ustekinumab,antidiabetic,
Benzethonium chloride,,Vedolizumab,Valacyclovir,antibiotic,
Benzethonium chloride,,Vidarabine,Valsartan,arthritis,
Benzethonium chloride,,Vilazodone,Vancomycin,antiviral,
Benzethonium chloride,,Vinblastine,Vancomycin hydrochloride,antihypertensive,
Benzethonium chloride,,Vinpocetine,Vardenafil,antibiotic ,
Benzethonium chloride,,Vitamin D,Vecuronium bromide,antibiotic,
Benzethonium chloride,,Voriconazole,Vedolizumab,PDE5 inhibitor,
Benzethonium chloride,,Zafirlukast,Vidarabine,anesthetic,
Benzethonium chloride,,Zaleplon,Vilazodone,ulcerative colitis,
Benzethonium chloride,,Zidovudine,Vinblastine,antiviral,
Benzethonium chloride,,Zileuton,Vinpocetine,antidepressant,
Benzethonium chloride,,Ziprasidone  Hydrochloride,Vitamin D,antitumor,
Benzethonium chloride,,Ziprasidone mesylate,Voriconazole,antiepilepsy,
Benzethonium chloride,,Zonisamide,Zafirlukast,nutrition,
Benzethonium chloride,,Zotepine,Zaleplon,antifungal,
Benzethonium chloride,,Zuclopenthixol dihydrochloride,Zidovudine,asthma,
Benzethonium chloride,,Β-Lapachone,Zileuton,insomnia,
Benzethonium chloride,,,Ziprasidone  Hydrochloride,antiviral,
Benzethonium chloride,,,Ziprasidone mesylate,asthma,
Benzethonium chloride,,,Zonisamide,antipsychotic,
Benzethonium chloride,,,Zotepine,antipsychotic,
Benzthiazide,,,Zuclopenthixol dihydrochloride,anticonvulsant,
Benzydamine hydrochloride,,,Β-Lapachone,antipsychotic,
Benzylpenicillin sodium,,,,antipsychotic ,
Benzylpenicillin sodium,,,,anticancer,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Benzylpenicillin sodium,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Bepridil hydrochloride,,,,,
Beta blockers,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone acetate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betamethasone valerate,,,,,
Betaxolol hydrochloride,,,,,
Bezafibrate,,,,,
Bezafibrate,,,,,
Bezafibrate,,,,,
Bezafibrate,,,,,
Bezafibrate,,,,,
Bezafibrate,,,,,
Bezafibrate,,,,,
Bicalutamide,,,,,
Bicalutamide,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Bifonazole,,,,,
Biperiden,,,,,
Biperiden,,,,,
Biperiden,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bisacodyl,,,,,
Bosentan,,,,,
Brivudine,,,,,
Brivudine,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromocriptine mesylate,,,,,
Bromperidol,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Budesonide,,,,,
Bufexamac,,,,,
Bupropion,,,,,
Bupropion,,,,,
Butamben,,,,,
Butenafine Hydrochloride,,,,,
Butenafine Hydrochloride,,,,,
Butenafine Hydrochloride,,,,,
Butenafine Hydrochloride,,,,,
Butenafine Hydrochloride,,,,,
Butenafine Hydrochloride,,,,,
Butoconazole nitrate,,,,,
Butoconazole nitrate,,,,,
Butoconazole nitrate,,,,,
